Name,RA,DEC,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13
3FGL J1416.1-2417,214.050733,-24.303756,0,0,0,0,0,0,0,0,0,0,1,0,0
3FGL J1444.0-3907,220.988323,-39.14446,0,0,0,0,0,0,0,0,0,0,1,0,0
PMN J1130-4214,172.528792,-42.244972,0,0,0,0,0,0,0,0,0,2,0,0,0
3FGL J1958.2-3011,299.562037,-30.186917,0,0,0,0,0,0,0,0,0,0,0,0,0
3FGL J2041.7-3732,310.460518,-37.561511,0,0,0,0,0,0,0,0,0,0,0,0,0
3FGL J2022.2-4515,305.609458,-45.225417,0,0,0,0,0,0,0,0,0,0,0,0,0
3FGL J2158.8-3013,329.716938,-30.225588,1,0,0,0,0,0,0,0,0,0,0,0,0
PMN J1329-3815,202.329925,-38.238501,0,0,0,0,0,0,0,0,0,0,1,0,0
3FGL J0039.0-2218,9.784205,-22.333744,0,0,1,0,0,0,0,0,0,0,0,0,0
3FGL J2009.3-4849,302.355795,-48.831589,0,0,0,0,0,0,0,0,0,0,0,0,1
3FGL J0009.6-3211,2.398157,-32.276925,0,2,0,0,0,0,0,0,0,0,0,0,0
3FGL J1548.8-2250,237.207289,-22.850698,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 1714-2027,258.523002,-20.463447,0,0,0,0,0,0,0,0,0,0,0,0,0
3FGL J1923.5-2104,290.884124,-21.075926,0,0,0,0,0,0,0,0,0,0,0,0,0
3FGL J1517.6-2422,229.424221,-24.372077,0,0,0,0,0,0,0,0,0,0,1,0,0
